name,slug,category,websiteUrl
ChatGPT,chatgpt,AI Agents,https://chat.openai.com
Claude,claude,AI Agents,https://claude.ai
Perplexity,perplexity,AI Research,https://www.perplexity.ai
Cursor,cursor,AI Coding,https://cursor.com
Windsurf,windsurf,AI Coding,https://windsurf.com
Lovable,lovable,AI Coding,https://lovable.dev
Replit,replit,AI Coding,https://replit.com
Runway,runway,AI Video,https://runwayml.com
Kling,kling,AI Video,https://klingai.com
Pika,pika,AI Video,https://pika.art
ElevenLabs,elevenlabs,AI Voice,https://elevenlabs.io
Midjourney,midjourney,AI Design,https://www.midjourney.com
Ideogram,ideogram,AI Design,https://ideogram.ai
HeyGen,heygen,AI Video,https://www.heygen.com
Synthesia,synthesia,AI Video,https://www.synthesia.io
Granola,granola,AI Workflow,https://www.granola.ai
Notion AI,notion-ai,AI Workflow,https://www.notion.so/product/ai
Zapier,zapier,AI Automation,https://zapier.com
Lindy,lindy,AI Automation,https://www.lindy.ai
Gamma,gamma,AI Design,https://gamma.app
Manus,manus,AI Agents,https://manus.im
V0,v0,AI Coding,https://v0.dev
Bolt,bolt,AI Coding,https://bolt.new
Linear,linear,AI Workflow,https://linear.app
CapCut,capcut,AI Video,https://www.capcut.com
Descript,descript,AI Voice,https://www.descript.com
Suno,suno,AI Voice,https://suno.com
Udio,udio,AI Voice,https://udio.com
NotebookLM,notebooklm,AI Research,https://notebooklm.google
Grok,grok,AI Agents,https://x.ai/grok
Tome,tome,AI Marketing,https://tome.app
Clay,clay,AI Marketing,https://www.clay.com
Jasper,jasper,AI Marketing,https://www.jasper.ai
Glean,glean,AI Research,https://www.glean.com
Make,make,AI Automation,https://www.make.com
Framer AI,framer-ai,AI Design,https://www.framer.com/ai
Vercel,vercel,AI Coding,https://vercel.com
n8n,n8n,AI Automation,https://n8n.io
Apollo,apollo,AI Marketing,https://www.apollo.io
Framer,framer,AI Design,https://www.framer.com
Typefully,typefully,AI Marketing,https://typefully.com
Slack,slack,AI Workflow,https://slack.com
HubSpot,hubspot,AI Marketing,https://www.hubspot.com
Instantly,instantly,AI Marketing,https://instantly.ai
Taplio,taplio,AI Marketing,https://taplio.com
LinkedIn,linkedin,AI Marketing,https://www.linkedin.com
Google Maps,google-maps,AI Research,https://www.google.com/maps
Adapt,adapt,AI Agents,https://adapt.com
Vtuber Assistant,vtuber-assistant,AI Avatars,https://store.steampowered.com/app/4464930/Vtuber_Assistant
Resumedit,resumedit,AI Writing,https://www.resumedit.com
Thrive Financial,thrive-financial,AI Coding,https://thrivefinancial.app
MyCustodyCoach,mycustodycoach,AI Agents,https://mycustodycoach.com
FastiAds,fastiads,AI Marketing,https://www.fastiads.com
