tool_name,x_handle,status,followers,posts_30d,likes_30d,reposts_30d,replies_30d,quotes_30d,views_30d,avg_engagement,median_engagement,max_engagement,posts_over_1k_engagement,posts_over_10k_engagement,error
OpenHands,@OpenHandsDev,Verified,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Wordware,@wordware,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Voiceflow,@VoiceflowHQ,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Botpress,@getbotpress,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
LangGraph,@LangChainAI,Parent/Product,0,0,0,0,0,0,0,0,0,0,0,0,
Mastra,@mastra,Verified,12617,20,234,34,21,9,35800,14.9,4,92,0,0,
Open WebUI,@OpenWebUI,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Browserbase,@browserbase,Verified,20044,25,623,67,76,26,135867,31.68,5,222,0,0,
Stagehand,@Stagehanddev,Verified,4822,12,116,11,12,7,21029,12.17,3,53,0,0,
Firecrawl,@firecrawl_dev,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Crawl4AI,@crawl4ai,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Jina AI,@JinaAI_,Verified,17216,6,656,100,14,20,144676,131.67,14.5,705,0,0,
LlamaParse,@llama_index,Parent/Product,115691,19,1399,221,145,38,751884,94.89,56,728,0,0,
Unstructured,@UnstructuredIO,Verified,6347,20,19,2,6,1,3464,1.4,1,7,0,0,
Steel.dev,@steeldotdev,Verified,1479,21,86,9,21,6,9855,5.81,3,37,0,0,
Tavily,@tavilyai,Verified,5662,17,238,45,35,13,77787,19.47,11,151,0,0,
Genspark,@genspark_ai,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Fellou,@FellouAI,Verified,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Comet,@comet,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Dia Browser,@diabrowser,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Kagi Assistant,@KagiHQ,Likely,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Andi,@andisearch,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Metaphor,@exaai,Renamed/Parent,0,0,0,0,0,0,0,0,0,0,0,0,
Khoj,@khoj_ai,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Memex,@memexgarden,VERIFY,2359,1,5,0,0,1,1261,6,6,6,0,0,
Langfuse,@langfuse,Verified,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Weights & Biases,@wandb,Verified,48354,20,125,18,23,1,35958,8.35,4,27,0,0,
Fal.ai,@fal,Verified,48973,20,594,53,35,12,246810,34.7,9,146,0,0,
Baseten,@basetenco,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Arize Phoenix,@ArizeAI,Likely/Parent,4563,20,84,11,18,4,7228,5.85,4.5,21,0,0,
Helicone,@helicone_ai,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Humanloop,@humanloop,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Predibase,@predibase,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Anyscale,@anyscalecompute,Verified,12978,21,132,39,9,4,17391,8.76,8,21,0,0,
MindsDB,@MindsDB,Verified,77618,3,4,1,0,0,535,1.67,1,3,0,0,
GraphRAG,@MSFTResearch,Parent/Product,554277,20,454,135,23,9,98216,31.05,27,81,0,0,
Ragie,@ragieai,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Pathway,@pathway_com,Verified,942,15,65,7,4,0,504807,5.07,4,17,0,0,
Neo4j Aura AI,@neo4j,Parent/Product,47092,21,136,31,13,2,14991,8.67,6,47,0,0,
Mem0,@mem0ai,Verified,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Zep,@zep_ai,Verified,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Deepgram,@DeepgramAI,Verified,10812,29,111,16,20,2,9549,5.14,5,19,0,0,
Cartesia,@cartesia,Verified,13673,8,269,64,20,28,80203,47.63,18,196,0,0,
PlayAI,@PlayAIOfficial,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Hume AI,@hume_ai,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Retell AI,@retellai,Verified,3164,3,30,1,16,0,2946,15.67,10,30,0,0,
Bland AI,@usebland,Verified,17329,6,55,3,21,1,26323,13.33,4.5,59,0,0,
Sesame,@sesame,Verified,33852,10,482,44,40,41,202425,60.7,12.5,433,0,0,
Rime,@rimelabs,Verified,1385,4,31,4,7,3,532924,11.25,3.5,38,0,0,
AssemblyAI,@AssemblyAI,Likely,45730,6,11,0,5,1,2510,2.83,2.5,7,0,0,
11x,@11x_official,Verified,2541,4,10,0,2,0,688,3,2,8,0,0,
Regie.ai,@regieai,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Common Room,@CommonRoomHQ,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Warmly,@warmly_ai,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Attention,@tryattention,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Day.ai,@Day_ai_app,Verified,0,0,0,0,0,0,0,0,0,0,0,0,
Default,@defaultdotcom,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Octave,@octavehq,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Artisan,@tryartisan,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
RevSure,@RevSureAI,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Higgsfield,@higgsfield_ai,Likely,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Wan Video,@Alibaba_Qwen,Parent/Product,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Dreamina,@DreaminaAI,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Haiper,@HaiperGenAI,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Hailuo,@Hailuo_AI,VERIFY,74024,20,901,105,156,82,343787,62.2,58.5,330,0,0,
SkyReels,@SkyReelsAI,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Akool,@akoolai,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
D-ID,@D_ID_,Likely,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
LivePortrait,@KwaiResearch,Parent/Product,0,0,0,0,0,0,0,0,0,0,0,0,
Pika Labs Pro,@pika_labs,Parent/Product,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Screen Studio,@screenstudio,Likely,22163,6,72,3,18,4,14350,16.17,1.5,47,0,0,
Guidde,@guiddeco,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Storylane,@StorylaneIO,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Supademo,@supademohq,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Napkin AI,@napkin_ai,Likely,9874,6,30,6,6,1,2459,7.17,0.5,39,0,0,
Beautiful.ai,@BeautifulAI,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Pitch,@Pitch,Likely,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Gamma Enterprise,@MeetGamma,Parent/Product,0,0,0,0,0,0,0,0,0,0,0,0,
Tella,@TellaHQ,Likely,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Arcade,@ArcadeSoftware,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
World Labs,@theworldlabs,Likely,69085,25,2012,270,91,49,339402,96.88,16,1063,1,0,
Wonder Dynamics,@WonderDynamics,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Move AI,@move_ai,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Convai,@convai,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Kinetix,@KinetixTech,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Meshcapade,@meshcapade,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Plask,@plask_ai,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Masterpiece Studio,@MasterpieceVR,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Avaturn,@avaturn_me,Likely,1840,20,268,41,26,9,2217515,17.2,1,290,0,0,
Anything World,@AnythingWorld,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
OpenAdapt,@OpenAdaptAI,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Goose,@block_goose,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Sweep,@sweep__ai,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Continue.dev,@continuedev,Likely,0,0,0,0,0,0,0,0,0,0,0,0,
Void Editor,@voideditor,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,
Zed AI,@zeddotdev,Parent/Product,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Factory,@FactoryAI,VERIFY,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Trigger.dev,@triggerdotdev,Likely,0,0,0,0,0,0,0,0,0,0,0,0,This operation was aborted
Temporal,@temporalio,Likely,10075,24,266,32,16,6,44406,13.33,4,121,0,0,
Agno,@agnoagi,VERIFY,13009,12,138,27,8,2,9940,14.58,14.5,29,0,0,
