reference_type,source_file,tool_name,tool_slug,issue,recommended_action
homepage/trending/static module,lib/data.ts,toolSlug,clay,Static module/event references removed/missing tool slug,Remove static reference or update to a current catalog tool.
homepage/trending/static module,lib/data.ts,toolSlug,clay,Static module/event references removed/missing tool slug,Remove static reference or update to a current catalog tool.
proof source,data/tool-evidence-sources.json,"Guided Divorce Workflow, Themes & Responsive App Experience",thrive-financial,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Godot + Gamelabs : AI Art Isn't Placeholder Anymore (Here's Proof),gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Godot + Gamelabs : AI Art Is Finally Production-Ready (Here's Proof),gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How To Use Thumbs AI for Better YouTube Thumbnails #ThumbsAI ...,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Make YouTube Thumbnails with AI | Thumbs . ai Review,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Better Thumbnails With One Click! ( Thumbs AI Review) - YouTube,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Create Viral YouTube Thumbnails in Minutes with AI,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Thumbs AI First Impression - Is It Worth It? - YouTube,thumbs-ai,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Steeking techniques | Beginner tutorial - YouTube,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Crochet Techniques - YouTube,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Techniques & Tutorials - YouTube,teneks,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Anna_AI Download and Setup Walkthrough (Free, Local VTuber ...",vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Free, Local, Capable AI VTuber Assistant (GitHub Repo Download)",vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Create your own AI VTuber (Free and Local) - YouTube,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Making an AI Vtuber / Assistant That Runs On a Toaster - YouTube,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Reverse Mode Autodiff in Python ( general compute graph) - YouTube,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Coursebox Tutorial Videos - YouTube,coursebox,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Coursebox Tutorial : Build & Sell Your First Online Course - YouTube,coursebox,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Coursebox Tutorial - YouTube,coursebox,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Coursebox - YouTube,coursebox,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,This AI Photo Editor Can Do Almost Anything | Editing Tutorial - YouTube,ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Game-Changing AI Photo Editing: Fotor AI Agent Tutorial - YouTube,ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Luminar AI - YouTube,ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Canva AI Photo Editing Tutorial (2025) - YouTube,ai-photo-editor,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"#3 System design OpenBudget , Low level design - YouTube",openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Open Budget Data Tutorial : How to use OpenGov - YouTube,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Open Budget Data Tutorial : Expenses - YouTube,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,OpenGov Tutorial - YouTube,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Open Budget Portal Tutorial - YouTube,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Verify Emails and Phone Numbers Instantly with MakeForms!,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Verify Leads in 1 Minute with MakeForms - YouTube,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"Build Smarter Surveys with MakeForms - Tutorial , Features & AI Tools",makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Make a Form with MakeForms AI Form Builder - YouTube,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to create your first form | MakeForms - YouTube,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,MakeForms Tutuorial - How to Make a One at a time Forms - YouTube,makeform,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Aiter AI Marketing Assistant Complete Guide - YouTube,aiter-io,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Notis 101: Getting Started With Notis - YouTube,notis,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Notis Quickstart - YouTube,notis,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Intro to the Notis Second Brain System - YouTube,notis,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Better Than OpenClaw? ( Notis AI Review & Tutorial ) - YouTube,notis,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,nadezhdkov/AkaneDen: Modular async VTuber AI system ... - GitHub,vtuber-assistant,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,OpenBudget /budgetkey-data-pipelines - GitHub,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,OpenBudget /BudgetKey: Opening the Israeli Budget! - GitHub,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,budgetkey-mcp/INTEGRATION- GUIDE .md at main · OpenBudget ...,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,BuddyPro Docs: Create Your Own AI Expert! | BuddyPro Docs,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,What will you need to start your BuddyPro journey?,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Deeper Tuning and Advanced Techniques | BuddyPro Docs,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Game Asset Generation API - Gamelabs Studio,gamelabs-studio,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,General Compute : Introduction,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,OpenClaw Integration - General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Models & Pricing - General Compute - Introduction - General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Capabilities - General Compute,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Compute and Network Provisioning | NVIDIA DSX Documentation,general-compute,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,[PDF] Help Guide for the OpenBudget NC Budget and Spending Report,openbudget,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"AI T-Shirt Design Blog - Tips, Tutorials & Inspiration - WearMind",wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,"AI Clothing Generator: Design, Try-On & Fashion Video | WearMind",wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,AI Clothing Design Generator for Any Garment - WearMind,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,About WearMind - Our Story & Mission,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Turn Static Clothing Photos into Viral TikTok ... - WearMind,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Top 10 AI Fashion Design Tools in 2026 (And Why ... - WearMind,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Virtual Try-On Buyer's Guide for E-commerce (2026 ... - WearMind,wearmind,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,BuddyPro : Train your AI-Powered Expert Based on Your Know-how,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Train Your AI Expert Based on Your Knowledge - BuddyPro,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,About BuddyPro — Information for AI Systems,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Train Your AI Expert Based on Your Knowledge - BuddyPro,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,The Future of Expert Business | BuddyPro AI Blog,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,BuddyPro : Train Your AI Expert Based on Your Knowledge,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,The Ultimate Guide to Chatbots for IT Support - BuddyPro,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Your Guide to an AI Coaching Companion - BuddyPro,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,Your Guide to Video Summarizer AI in 2026 - BuddyPro AI,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
proof source,data/tool-evidence-sources.json,How to Automate Business Processes for Growth - BuddyPro,buddypro,Proof/evidence record references removed/missing tool,Ignore for public catalog or prune/archive stale proof source record.
