tool,slug,has_proof_source,proof_post_count
"Fundraisly","fundraisly",false,0
"Co-Invest","co-invest",false,0
"Paste App","paste-app",false,0
"Rodeo by TwelveLabs","rodeo-by-twelvelabs",false,0
"Branda","branda",false,0
"Knock Agent for Slack","knock-agent-for-slack",false,0
"Mina Meeting Assistant","mina-meeting-assistant",false,0
"Databox MCP","databox-mcp",false,0
"Dune Keypad","dune-keypad",false,0
"folk","folk",false,0
"Typeahead","typeahead",false,0
"Tokenwise","tokenwise",false,0
"Wingbits AI","wingbits-ai",false,0
"Openstatus Health","openstatus-health",false,0
"Step 3.7 Flash","step-3-7-flash",false,0
"Ava Studio","ava-studio",false,0
"Agent A | Ahrefs","agent-a-ahrefs",false,0
"MCP Bridge | Appfactor","mcp-bridge-appfactor",false,0
"Integuru","integuru",false,0
"Basedash","basedash",false,0
"Clipline","clipline",false,0
"Buffer API","buffer-api",false,0
"zero.xyz","zero-xyz",false,0
"Coworker AI","coworker-ai",false,0
"Octolane","octolane",false,0
"Krater","krater",false,0
"DodoForm","dodoform",false,0
"Parsewise API","parsewise-api",false,0
"Rezonant","rezonant",false,0
"Willow Scribe","willow-scribe",false,0
