name,slug,status,logo_source,logo_url
OpenHands,openhands,inserted,website-icon,/logos/tools/openhands.svg
Browserbase,browserbase,inserted,website-icon,/logos/tools/browserbase.ico
Stagehand,stagehand,inserted,website-icon,/logos/tools/stagehand.svg
Deepgram,deepgram,inserted,website-icon,/logos/tools/deepgram.ico
Cartesia,cartesia,inserted,website-icon,/logos/tools/cartesia.png
LangGraph,langgraph,inserted,website-icon,/logos/tools/langgraph.png
Wordware,wordware,inserted,website-icon,/logos/tools/wordware.png
Higgsfield,higgsfield,inserted,website-icon,/logos/tools/higgsfield.png
Genspark,genspark,inserted,favicon,/logos/tools/genspark.png
Retell AI,retell-ai,inserted,website-icon,/logos/tools/retell-ai.png
Hume AI,hume-ai,inserted,website-icon,/logos/tools/hume-ai.ico
PlayAI,playai,inserted,google-favicon,/logos/tools/playai.png
Tavily,tavily,inserted,website-icon,/logos/tools/tavily.ico
Jina AI,jina-ai,inserted,website-icon,/logos/tools/jina-ai.png
Voiceflow,voiceflow,inserted,website-icon,/logos/tools/voiceflow.png
Botpress,botpress,inserted,website-icon,/logos/tools/botpress.png
Continue.dev,continue-dev,inserted,website-icon,/logos/tools/continue-dev.png
Firecrawl,firecrawl,inserted,website-icon,/logos/tools/firecrawl.png
Crawl4AI,crawl4ai,inserted,website-icon,/logos/tools/crawl4ai.ico
Open WebUI,open-webui,inserted,website-icon,/logos/tools/open-webui.png
Baseten,baseten,inserted,website-icon,/logos/tools/baseten.ico
Langfuse,langfuse,inserted,website-icon,/logos/tools/langfuse.ico
11x,11x,inserted,website-icon,/logos/tools/11x.png
World Labs,world-labs,inserted,website-icon,/logos/tools/world-labs.ico
Mem0,mem0,inserted,website-icon,/logos/tools/mem0.svg
Helicone,helicone,inserted,website-icon,/logos/tools/helicone.ico
Comet,comet,inserted,website-icon,/logos/tools/comet.png
D-ID,d-id,inserted,website-icon,/logos/tools/d-id.png
Dreamina,dreamina,inserted,website-icon,/logos/tools/dreamina.ico
Haiper,haiper,inserted,google-favicon,https://www.google.com/s2/favicons?domain=haiper.ai&sz=128
Hailuo,hailuo,inserted,favicon,/logos/tools/hailuo.svg
SkyReels,skyreels,inserted,website-icon,/logos/tools/skyreels.png
Bland AI,bland-ai,inserted,website-icon,/logos/tools/bland-ai.ico
Sesame,sesame,inserted,website-icon,/logos/tools/sesame.svg
AssemblyAI,assemblyai,inserted,website-icon,/logos/tools/assemblyai.ico
Smallest AI,smallest-ai,inserted,website-icon,/logos/tools/smallest-ai.png
Kagi Assistant,kagi-assistant,inserted,website-icon,/logos/tools/kagi-assistant.png
Dia Browser,dia-browser,inserted,website-icon,/logos/tools/dia-browser.png
Zed,zed,inserted,website-icon,/logos/tools/zed.png
Trigger.dev,trigger-dev,inserted,favicon,/logos/tools/trigger-dev.ico
Temporal,temporal,inserted,website-icon,/logos/tools/temporal.ico
MindsDB,mindsdb,inserted,website-icon,/logos/tools/mindsdb.svg
Arize Phoenix,arize-phoenix,inserted,website-icon,/logos/tools/arize-phoenix.png
Weights & Biases,weights-biases,inserted,website-icon,/logos/tools/weights-biases.png
Unstructured,unstructured,inserted,website-icon,/logos/tools/unstructured.svg
LlamaParse,llamaparse,inserted,website-icon,/logos/tools/llamaparse.ico
Fellou,fellou,inserted,website-icon,/logos/tools/fellou.ico
Screen Studio,screen-studio,inserted,website-icon,/logos/tools/screen-studio.png
Predibase,predibase,inserted,google-favicon,/logos/tools/predibase.png
Convai,convai,inserted,website-icon,/logos/tools/convai.png
Avaturn,avaturn,inserted,website-icon,/logos/tools/avaturn.ico
Masterpiece Studio,masterpiece-studio,inserted,google-favicon,/logos/tools/masterpiece-studio.png
__SUMMARY__,inserted:52,updated:0,skipped:0,input:52
