tool,slug,source_url
"OpenHands","openhands","https://www.all-hands.dev"
"Browserbase","browserbase","https://www.browserbase.com"
"Stagehand","stagehand","https://www.stagehand.dev"
"Deepgram","deepgram","https://deepgram.com"
"Cartesia","cartesia","https://cartesia.ai"
"LangGraph","langgraph","https://www.langchain.com/langgraph"
"Wordware","wordware","https://www.wordware.ai"
"Higgsfield","higgsfield","https://higgsfield.ai"
"Genspark","genspark","https://www.genspark.ai"
"Retell AI","retell-ai","https://www.retellai.com"
"Hume AI","hume-ai","https://www.hume.ai"
"PlayAI","playai","https://play.ai"
"Tavily","tavily","https://tavily.com"
"Jina AI","jina-ai","https://jina.ai"
"Voiceflow","voiceflow","https://www.voiceflow.com"
"Botpress","botpress","https://botpress.com"
"Continue.dev","continue-dev","https://continue.dev"
"Firecrawl","firecrawl","https://firecrawl.dev"
"Crawl4AI","crawl4ai","https://crawl4ai.com"
"Open WebUI","open-webui","https://openwebui.com"
"Baseten","baseten","https://www.baseten.co"
"Langfuse","langfuse","https://langfuse.com"
"11x","11x","https://11x.ai"
"World Labs","world-labs","https://www.worldlabs.ai"
"Mem0","mem0","https://mem0.ai"
"Helicone","helicone","https://helicone.ai"
"Comet","comet","https://comet.com"
"D-ID","d-id","https://www.d-id.com"
"Dreamina","dreamina","https://dreamina.capcut.com"
"Haiper","haiper","https://haiper.ai"
"Hailuo","hailuo","https://hailuoai.video"
"SkyReels","skyreels","https://skyreels.ai"
"Bland AI","bland-ai","https://www.bland.ai"
"Sesame","sesame","https://www.sesame.com"
"AssemblyAI","assemblyai","https://www.assemblyai.com"
"Smallest AI","smallest-ai","https://smallest.ai"
"Kagi Assistant","kagi-assistant","https://kagi.com"
"Dia Browser","dia-browser","https://www.diabrowser.com"
"Zed","zed","https://zed.dev"
"Trigger.dev","trigger-dev","https://trigger.dev"
"Temporal","temporal","https://temporal.io"
"MindsDB","mindsdb","https://mindsdb.com"
"Arize Phoenix","arize-phoenix","https://phoenix.arize.com"
"Weights & Biases","weights-biases","https://wandb.ai"
"Unstructured","unstructured","https://unstructured.io"
"LlamaParse","llamaparse","https://www.llamaindex.ai/llamaparse"
"Fellou","fellou","https://fellou.ai"
"Screen Studio","screen-studio","https://screen.studio"
"Predibase","predibase","https://predibase.com"
"Convai","convai","https://convai.com"
"Avaturn","avaturn","https://avaturn.me"
"Masterpiece Studio","masterpiece-studio","https://masterpiecestudio.com"
