name,x_handle,website
OpenHands,@OpenHandsDev,https://www.all-hands.dev
Browserbase,@browserbase,https://www.browserbase.com
Stagehand,@Stagehanddev,https://www.stagehand.dev
Deepgram,@DeepgramAI,https://deepgram.com
Cartesia,@cartesia,https://cartesia.ai
LangGraph,@LangChainAI,https://www.langchain.com/langgraph
Wordware,@wordware,https://www.wordware.ai
Higgsfield,@higgsfield_ai,https://higgsfield.ai
Genspark,@genspark_ai,https://www.genspark.ai
Retell AI,@retellai,https://www.retellai.com
Hume AI,@hume_ai,https://www.hume.ai
PlayAI,@PlayAIOfficial,https://play.ai
Tavily,@tavilyai,https://tavily.com
Jina AI,@JinaAI_,https://jina.ai
Voiceflow,@VoiceflowHQ,https://www.voiceflow.com
Botpress,@getbotpress,https://botpress.com
Continue.dev,@continuedev,https://continue.dev
Firecrawl,@firecrawl_dev,https://firecrawl.dev
Crawl4AI,@crawl4ai,https://crawl4ai.com
Open WebUI,@OpenWebUI,https://openwebui.com
Baseten,@basetenco,https://www.baseten.co
Langfuse,@langfuse,https://langfuse.com
11x,@11x_official,https://11x.ai
World Labs,@theworldlabs,https://www.worldlabs.ai
Mem0,@mem0ai,https://mem0.ai
Helicone,@helicone_ai,https://helicone.ai
Comet,@comet,https://comet.com
D-ID,@D_ID_,https://www.d-id.com
Dreamina,@DreaminaAI,https://dreamina.capcut.com
Haiper,@HaiperGenAI,https://haiper.ai
Hailuo,@Hailuo_AI,https://hailuoai.video
SkyReels,@SkyReelsAI,https://skyreels.ai
Bland AI,@usebland,https://www.bland.ai
Sesame,@sesame,https://www.sesame.com
AssemblyAI,@AssemblyAI,https://www.assemblyai.com
Smallest AI,@smallest_ai,https://smallest.ai
Kagi Assistant,@KagiHQ,https://kagi.com
Dia Browser,@diabrowser,https://www.diabrowser.com
Zed,@zeddotdev,https://zed.dev
Trigger.dev,@triggerdotdev,https://trigger.dev
Temporal,@temporalio,https://temporal.io
MindsDB,@MindsDB,https://mindsdb.com
Arize Phoenix,@ArizeAI,https://phoenix.arize.com
Weights & Biases,@wandb,https://wandb.ai
Unstructured,@UnstructuredIO,https://unstructured.io
LlamaParse,@llama_index,https://www.llamaindex.ai/llamaparse
Fellou,@FellouAI,https://fellou.ai
Screen Studio,@screenstudio,https://screen.studio
Predibase,@predibase,https://predibase.com
Convai,@convai,https://convai.com
Avaturn,@avaturn_me,https://avaturn.me
Masterpiece Studio,@MasterpieceVR,https://masterpiecestudio.com
