source,tool,slug,in_current_catalog,has_proof_record,stored_item_count,displayable_item_count,is_orphan_record,is_duplicate_record,is_empty_shell
article,Adapt,adapt,true,true,3,3,false,false,false
article,Apollo,apollo,true,true,1,1,false,false,false
article,Bolt,bolt,true,true,1,1,false,false,false
article,ChatGPT,chatgpt,true,true,3,3,false,false,false
article,Claude,claude,true,true,3,3,false,false,false
article,Cursor,cursor,true,true,3,3,false,false,false
article,Descript,descript,true,true,1,1,false,false,false
article,Gamma,gamma,true,true,1,1,false,false,false
article,Glean,glean,true,true,2,2,false,false,false
article,Grok,grok,true,true,3,3,false,false,false
article,Instantly,instantly,true,true,1,1,false,false,false
article,Kling,kling,true,true,3,3,false,false,false
article,Linear,linear,true,true,1,1,false,false,false
article,Make,make,true,true,3,3,false,false,false
article,Perplexity,perplexity,true,true,2,2,false,false,false
article,Runway,runway,true,true,1,1,false,false,false
article,Slack,slack,true,true,3,3,false,false,false
article,Udio,udio,true,true,3,3,false,false,false
article,v0,v0,true,true,3,3,false,false,false
article,Vercel,vercel,true,true,3,3,false,false,false
article,Windsurf,windsurf,true,true,1,1,false,false,false
article,Zapier,zapier,true,true,1,1,false,false,false
github,Adapt,adapt,true,true,3,3,false,false,false
github,Apollo,apollo,true,true,3,3,false,false,false
github,Bolt,bolt,true,true,3,3,false,false,false
github,CapCut,capcut,true,true,3,3,false,false,false
github,CatDoes,catdoes,true,true,3,3,false,false,false
github,ChatGPT,chatgpt,true,true,3,3,false,false,false
github,Claude,claude,true,true,3,3,false,false,false
github,Cursor,cursor,true,true,3,3,false,false,false
github,Descript,descript,true,true,3,3,false,false,false
github,ElevenLabs,elevenlabs,true,true,3,3,false,false,false
github,Fetcher,fetcher,true,true,3,3,false,false,false
github,Floot,floot,true,true,3,3,false,false,false
github,Framer,framer,true,true,3,3,false,false,false
github,Framer AI,framer-ai,true,true,3,3,false,false,false
github,Gamma,gamma,true,true,3,3,false,false,false
github,Glean,glean,true,true,3,3,false,false,false
github,Granola,granola,true,true,3,3,false,false,false
github,Grok,grok,true,true,3,3,false,false,false
github,H2O.ai,h2o-ai,true,true,3,3,false,false,false
github,HeyGen,heygen,true,true,3,3,false,false,false
github,HubSpot,hubspot,true,true,3,3,false,false,false
github,Ideogram,ideogram,true,true,3,3,false,false,false
github,Inbenta,inbenta,true,true,3,3,false,false,false
github,Instantly,instantly,true,true,3,3,false,false,false
github,Jasper,jasper,true,true,3,3,false,false,false
github,Kling,kling,true,true,3,3,false,false,false
github,Lindy,lindy,true,true,3,3,false,false,false
github,Linear,linear,true,true,3,3,false,false,false
github,Lovable,lovable,true,true,3,3,false,false,false
github,Make,make,true,true,3,3,false,false,false
github,Manus,manus,true,true,3,3,false,false,false
github,Midjourney,midjourney,true,true,3,3,false,false,false
github,n8n,n8n,true,true,3,3,false,false,false
github,NotebookLM,notebooklm,true,true,3,3,false,false,false
github,Notion AI,notion-ai,true,true,3,3,false,false,false
github,Perplexity,perplexity,true,true,3,3,false,false,false
github,Pika,pika,true,true,3,3,false,false,false
github,PixieBrix,pixiebrix,true,true,3,3,false,false,false
github,QuillBot,quillbot,true,true,3,3,false,false,false
github,remio,remio,true,true,3,3,false,false,false
github,remove.bg,remove-bg,true,true,3,3,false,false,false
github,Replit,replit,true,true,3,3,false,false,false
github,Rocket,rocket,true,true,3,3,false,false,false
github,Runway,runway,true,true,3,3,false,false,false
github,Saveto AI,saveto-ai,true,true,3,3,false,false,false
github,Slack,slack,true,true,3,3,false,false,false
github,Stockimg AI,stockimg-ai,true,true,3,3,false,false,false
github,Subquadratic,subquadratic,true,true,3,3,false,false,false
github,Suno,suno,true,true,3,3,false,false,false
github,Synthesia,synthesia,true,true,3,3,false,false,false
github,Tendem,tendem,true,true,3,3,false,false,false
github,Typefully,typefully,true,true,3,3,false,false,false
github,Udio,udio,true,true,3,3,false,false,false
github,v0,v0,true,true,3,3,false,false,false
github,Vercel,vercel,true,true,3,3,false,false,false
github,Veriff,veriff,true,true,3,3,false,false,false
github,VoxDeck,voxdeck,true,true,3,3,false,false,false
github,Windsurf,windsurf,true,true,3,3,false,false,false
github,Zapier,zapier,true,true,3,3,false,false,false
