tool,slug,websiteUrl,x_handle,confidence,source_url
"ChatGPT","chatgpt","https://chat.openai.com","","0","https://chat.openai.com"
"Perplexity","perplexity","https://www.perplexity.ai","","0","https://www.perplexity.ai"
"Midjourney","midjourney","https://www.midjourney.com","","0","https://www.midjourney.com"
"Ideogram","ideogram","https://ideogram.ai","","0","https://ideogram.ai"
"Gamma","gamma","https://gamma.app","","0","https://gamma.app"
"CapCut","capcut","https://www.capcut.com","","0","https://www.capcut.com"
"Descript","descript","https://www.descript.com","@descript","100","https://www.descript.com"
"Udio","udio","https://udio.com","","0","https://udio.com"
"NotebookLM","notebooklm","https://notebooklm.google","","0","https://notebooklm.google"
"Make","make","https://www.make.com","@make_hq","95","https://www.make.com"
"Typefully","typefully","https://typefully.com","","0","https://typefully.com"
"Taplio","taplio","https://taplio.com","","0","https://taplio.com"
"LinkedIn","linkedin","https://www.linkedin.com","","0","https://www.linkedin.com"
"Google Maps","google-maps","https://www.google.com/maps","","0","https://www.google.com/maps"
"Vtuber Assistant","vtuber-assistant","https://store.steampowered.com/app/4464930/Vtuber_Assistant","","0","https://store.steampowered.com/app/4464930/Vtuber_Assistant"
"Thrive Financial","thrive-financial","https://thrivefinancial.app","","0","https://thrivefinancial.app"
"FastiAds","fastiads","https://www.fastiads.com","","0","https://www.fastiads.com"
"UFate","ufate","https://www.ufate.ai","","0","https://www.ufate.ai"
"ApiPosture","apiposture","https://www.apiposture.com","","0","https://www.apiposture.com"
"BuddyPro","buddypro","https://buddypro.ai","","0","https://buddypro.ai"
"PlotStudio AI","plotstudio-ai","https://www.plotstudio.ai","","0","https://www.plotstudio.ai"
"General Compute","general-compute","https://www.generalcompute.com","","0","https://www.generalcompute.com"
"Franki","franki","https://www.chat-to-franki.com","","0","https://www.chat-to-franki.com"
"TeachQuill","teachquill","https://teachquill.com","","0","https://teachquill.com"
"OpenBudget","openbudget","https://openbudget.sh","","0","https://openbudget.sh"
