tool,websiteUrl,hasWebsite
"ChatGPT","https://chat.openai.com","true"
"Perplexity","https://www.perplexity.ai","true"
"Midjourney","https://www.midjourney.com","true"
"Ideogram","https://ideogram.ai","true"
"Gamma","https://gamma.app","true"
"CapCut","https://www.capcut.com","true"
"Descript","https://www.descript.com","true"
"Udio","https://udio.com","true"
"NotebookLM","https://notebooklm.google","true"
"Make","https://www.make.com","true"
"Typefully","https://typefully.com","true"
"Taplio","https://taplio.com","true"
"LinkedIn","https://www.linkedin.com","true"
"Google Maps","https://www.google.com/maps","true"
"Vtuber Assistant","https://store.steampowered.com/app/4464930/Vtuber_Assistant","true"
"Thrive Financial","https://thrivefinancial.app","true"
"FastiAds","https://www.fastiads.com","true"
"UFate","https://www.ufate.ai","true"
"ApiPosture","https://www.apiposture.com","true"
"BuddyPro","https://buddypro.ai","true"
"PlotStudio AI","https://www.plotstudio.ai","true"
"General Compute","https://www.generalcompute.com","true"
"Franki","https://www.chat-to-franki.com","true"
"TeachQuill","https://teachquill.com","true"
"OpenBudget","https://openbudget.sh","true"
"EduSolver","https://edusolver.io","true"
"NDORFlow","https://ndorflow.app","true"
"Melody Genie","https://melodygenie.app","true"
"Link To Text","https://linktotext.co","true"
"Dokie","https://dokie.ai","true"
"WebZum","https://webzum.com","true"
"Gamelabs Studio","https://gamelabstudio.co","true"
"ShortsMate","https://shortsmate.ai","true"
"Adrian","https://github.com/secureagentics/Adrian","true"
"CEOfriend","https://www.ceofriend.ai","true"
"Distill.cv","https://distill.cv","true"
"Image3D AI","https://www.aiimageto3d.com","true"
"Matrix Coder","https://matrixcoder.io","true"
"Thumbs AI","https://www.thumbs.ai","true"
"VideoSwap.app","https://www.videoswap.app","true"
"SocialClip Studio","https://socialclipstudio.com","true"
"Baby Magic","https://www.babymagic.app/ai-baby-image","true"
"HitPublish","https://www.hitpublish.ai","true"
"Ask Bishop","https://askbishop.app","true"
"Quorlyx Pro","https://quorlyx.dev","true"
"Scavio AI","https://scavio.dev","true"
"Rift","https://rift-code.com","true"
"DineCraft","https://www.dinecraft.app","true"
"Teneks","https://www.teneks.ai","true"
"Team Pulse","https://goteampulse.io","true"
"Browserbeam","https://browserbeam.com","true"
"AuthentaLink","https://authentalink.com","true"
"Introvrs","https://www.introvrs.com","true"
"TextSongAI.com","https://www.textsongai.com","true"
"Nomie","https://apps.apple.com/us/app/nomie-doomscrolling-break/id6757396354","true"
"Clocsy","https://clocsy.com","true"
"Pounce","https://www.pounce.so","true"
"FaceHub AI","https://www.facehub.ai","true"
"AI Product Photography.app","https://aiproductphotography.app","true"
"MusVideo","https://musvideo.ai","true"
"Silky AI","https://www.aihair.life","true"
"InstantTranscriber","https://instanttranscriber.com","true"
"MagicReels","https://magicreels.media","true"
"Vidlogi","https://www.vidlogi.com/en","true"
"Sunny by Sunburnt AI","https://sunburntai.com.au/sunny-agentic-ai-operating-system","true"
"AI Landscape Design by Yuzu","https://yuzudesign.ai/landscape-design-ai","true"
"Koinonos","https://www.koinonos.app","true"
"DebaterX","https://www.debaterx.app","true"
"Ozigi","https://ozigi.app","true"
