tool,slug,stored_top_tweets,rejected_by_author_crypto_filter,sample_rejected_handles
CapCut,capcut,10,1,@sty_defi (STYRΞNΞ ✂️) [defi]
ChatGPT,chatgpt,10,1,@Cryptic_Web3 (Cryptic) [web3]
Claude,claude,10,1,@Cryptic_Web3 (Cryptic) [web3]
ElevenLabs,elevenlabs,10,1,@HooCrypto (Juampi) [crypto]
HeyGen,heygen,10,1,@SiriOnchainX (Siri | AI x Prediction arc) [onchain]
Perplexity,perplexity,10,1,@iamveektoria_ (Iamveektoria.base.eth 🙂‍↔️🌳 ✠) [eth]
Cursor,cursor,10,0,
Kling,kling,10,0,
Midjourney,midjourney,10,0,
NotebookLM,notebooklm,10,0,
Pika,pika,10,0,
Runway,runway,10,0,
Synthesia,synthesia,10,0,
Vercel,vercel,10,0,
