tool,slug,records_added,urls,status
"Aider","aider",3,"https://www.youtube.com/watch?v=0JMIt0eErjM | https://www.youtube.com/watch?v=a92vFtC-0vM | https://www.youtube.com/watch?v=_m6rpy0-Lrk","added"
"Amazon Bedrock","amazon-bedrock",3,"https://www.youtube.com/watch?v=usFIb9aEd1U | https://www.youtube.com/watch?v=_vdK5PgcNvc | https://www.youtube.com/watch?v=32D7NJK9QIk","added"
"Anthropic Console","anthropic-console",3,"https://www.youtube.com/watch?v=UfP5XWFVrww | https://www.youtube.com/watch?v=KIGBsQqZcNA | https://www.youtube.com/watch?v=xpLgCmK3-Yg","added"
"AnythingLLM","anythingllm",3,"https://www.youtube.com/watch?v=ZmxNDlQ9hyY | https://www.youtube.com/watch?v=pSYEcJTt4t4 | https://www.youtube.com/watch?v=TrM1FzKrz5I","added"
"AutoGen","autogen",3,"https://www.youtube.com/watch?v=oum6EI7wohM | https://www.youtube.com/watch?v=vU2S6dVf79M | https://www.youtube.com/watch?v=sCNXU0_IWzc","added"
"Azure AI Foundry","azure-ai-foundry",3,"https://www.youtube.com/watch?v=0tIzhAFzY34 | https://www.youtube.com/watch?v=GD7MnIwAxYM | https://www.youtube.com/watch?v=Sq8Cq7RZM2o","added"
"Blackbox AI","blackbox-ai",3,"https://www.youtube.com/watch?v=iY-Yy4EJMn8 | https://www.youtube.com/watch?v=knMyfwnvkhc | https://www.youtube.com/watch?v=c5y7tHV1LAQ","added"
"Chroma","chroma",3,"https://www.youtube.com/watch?v=AoNJWm4ciMg | https://www.youtube.com/watch?v=pWOQirfqOIc | https://www.youtube.com/watch?v=lCpI6rB6FgQ","added"
"Claude Code","claude-code",3,"https://www.youtube.com/watch?v=RywmhLTFeFk | https://www.youtube.com/watch?v=ujHXnlSVheI | https://www.youtube.com/watch?v=xfptZcCf484","added"
"Clay","clay",3,"https://www.youtube.com/watch?v=h74zn_B9Skg | https://www.youtube.com/watch?v=Otz634BgTDs | https://www.youtube.com/watch?v=WgPvfx1sr5Y","added"
"Codeium","codeium",3,"https://www.youtube.com/watch?v=YM2ingiVVJ0 | https://www.youtube.com/watch?v=lu-p9wtps4w | https://www.youtube.com/watch?v=0YkxPX1vqLg","added"
"Cohere","cohere",2,"https://www.youtube.com/watch?v=jW6wAz2nYls | https://www.youtube.com/watch?v=n4mIKHSw1Mo","added"
"ComfyUI","comfyui",3,"https://www.youtube.com/watch?v=aCRzCyn5yIE | https://www.youtube.com/watch?v=23VkGD-4uwk | https://www.youtube.com/watch?v=W-9P12OVqsg","added"
